,seq_id,baseline,label
809,13866,1,disagreed
810,14920,3,disagreed
811,13691,1,disagreed
812,13848,5,3
813,14530,4,5
814,14751,2,unsure
815,13959,3,disagreed
816,14467,3,disagreed
817,14428,3,disagreed
818,14768,3,disagreed
819,14220,5,5
820,14338,4,5
821,14474,1,5
822,13987,0,5
823,14597,0,2
824,14565,3,disagreed
825,13989,3,disagreed
826,14959,3,5
827,14089,5,2
828,14628,0,disagreed
829,13938,0,0
830,13702,4,disagreed
831,13946,5,5
832,14693,3,disagreed
833,14067,3,5
834,13683,0,disagreed
835,14271,4,disagreed
836,15029,4,2
837,13668,0,1
838,14542,5,disagreed
839,13770,1,5
840,14312,3,disagreed
841,14583,5,3
842,14725,3,disagreed
843,14241,3,5
844,14875,0,disagreed
845,14708,0,disagreed
846,13595,5,disagreed
847,13985,1,disagreed
848,14389,1,5
849,14395,4,unsure
850,14182,5,disagreed
851,14870,4,1/2
852,13650,2,disagreed
853,14890,5,disagreed
854,14684,2,disagreed
855,14515,0,disagreed
856,14983,5,disagreed
857,14207,0,disagreed
858,13947,2,disagreed
859,14249,2,2
860,15005,1,disagreed
861,14780,2,0
862,14219,5,disagreed
863,14856,0,disagreed
864,14588,2,4
865,14921,0,unsure
866,13812,4,disagreed
867,13641,5,disagreed
868,14525,3,disagreed
869,14889,4,unsure
870,14947,2,3
871,14790,5,disagreed
872,14628,1,disagreed
873,14002,3,2
874,14850,3,disagreed
